source	log	path	corpus	corpus_bytes	iters	mode	warmup_iters	elapsed_s	ns_per_byte	mbps	cycles	instructions	cycles_per_byte	cpi	user_ns	system_ns	checksum
p1b	real_typed_track1__apache_builds.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__apache_builds.log	apache_builds	127275	4715	real_typed_track1	0	0.866627	1.444134	5539.654	2292761815	9666340704	3.820623	0.237190	19281688	459418	1631609170278642033
p1b	real_typed_track1__canada.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__canada.log	canada	2251051	267	real_typed_track1	0	1.711569	2.847723	2809.262	4510786695	25520564931	7.505086	0.176751	37935617	870558	1008468329916695715
p1b	real_typed_track1__citm_catalog.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__citm_catalog.log	citm_catalog	1727204	348	real_typed_track1	0	0.218461	0.363455	22010.962	595741003	4113492854	0.991139	0.144826	4881813	102045	0
p1b	real_typed_track1__distinct_values.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__distinct_values.log	distinct_values	153630	3906	real_typed_track1	0	0.540268	0.900328	8885.646	2174155261	13129107357	3.623116	0.165598	12300204	196471	0
p1b	real_typed_track1__github_events.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__github_events.log	github_events	65132	9213	real_typed_track1	0	0.607306	1.012074	7904.561	1487916267	7315806697	2.479608	0.203384	13340526	335057	5164854789897046116
p1b	real_typed_track1__gsoc-2018.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__gsoc-2018.log	gsoc-2018	3327831	181	real_typed_track1	0	0.863936	1.434306	5577.610	2888012661	12257981695	4.794676	0.235603	19607770	333051	17588957560949363005
p1b	real_typed_track1__instruments.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__instruments.log	instruments	220346	2723	real_typed_track1	0	0.257445	0.429073	18644.844	1046096540	7552314805	1.743488	0.138513	5869830	91063	6053947005340795886
p1b	real_typed_track1__marine_ik.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__marine_ik.log	marine_ik	2983466	202	real_typed_track1	0	0.445500	0.739223	10822.175	1761709705	11944281450	2.923223	0.147494	10161549	159980	0
p1b	real_typed_track1__mesh.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__mesh.log	mesh	723597	830	real_typed_track1	0	0.940522	1.566009	5108.527	2293303699	16203081982	3.818447	0.141535	20834960	492575	0
p1b	real_typed_track1__numbers.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__numbers.log	numbers	150124	3997	real_typed_track1	0	0.394366	0.657226	12172.369	1608075123	11228221645	2.679921	0.143217	9021635	136149	7821342331123428551
p1b	real_typed_track1__random.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__random.log	random	510476	1176	real_typed_track1	0	1.002011	1.669128	4792.921	2555245622	13725292470	4.256474	0.186171	22293501	499868	0
p1b	real_typed_track1__twitter.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__twitter.log	twitter	631515	951	real_typed_track1	0	0.382724	0.637268	12553.593	1042132798	6093244656	1.735237	0.171031	8547998	179038	17794062064648910603
p1b	real_typed_track1__unicode_basic.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__unicode_basic.log	unicode_basic	1048586	573	real_typed_track1	0	0.781930	1.301395	6147.251	3202674558	12942124595	5.330330	0.247461	17855230	272211	7152685547856090394
p1b	real_typed_track1__unicode_escapes.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__unicode_escapes.log	unicode_escapes	1050797	571	real_typed_track1	0	1.849823	3.083012	2594.865	7257209058	14518445342	12.095246	0.499861	42223758	662686	4835405340194808800
p1b	real_typed_track1__unicode_mixed.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__unicode_mixed.log	unicode_mixed	1053086	570	real_typed_track1	0	0.825549	1.375321	5816.825	3253070798	12881968762	5.419445	0.252529	18810358	297368	0
p1b	real_typed_track1__update_center.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__update_center.log	update_center	533178	1126	real_typed_track1	0	0.568606	0.947110	8446.744	1450992568	7417501684	2.416877	0.195617	12583587	294435	0
p1b	real_typed_track1__y_string_unicode.log	/tmp/skv15-p1/logs/p1b/real_typed_track1__y_string_unicode.log	y_string_unicode	35601	16854	real_typed_track1	0	0.436121	0.726845	11006.470	1771977043	12498630837	2.953200	0.141774	9969184	148138	0
p1b	real_typed_track2__apache_builds.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__apache_builds.log	apache_builds	127275	4715	real_typed_track2	0	1.546666	2.577341	3103.975	3881802451	17303542238	6.468575	0.224336	34290417	819204	1631609170278642033
p1b	real_typed_track2__canada.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__canada.log	canada	2251051	267	real_typed_track2	0	2.194190	3.650713	2191.353	6152865644	34065461551	10.237192	0.180619	48862898	1076584	1008468329916695715
p1b	real_typed_track2__citm_catalog.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__citm_catalog.log	citm_catalog	1727204	348	real_typed_track2	0	0.327796	0.545357	14669.300	1150526314	7094733610	1.914140	0.162166	7425408	129616	0
p1b	real_typed_track2__distinct_values.log	/tmp/skv15-p1/logs/p1b/real_typed_track2__distinct_values.log	distinct_values	153630	3906	real_typed_track2	0	1.663974	2.772926	2885.039	6364241865	34701766032	10.605677	0.183398	38056672	516729	0
