artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__distinct_values.json.gz	true	31196	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__distinct_values.json.syms.json	true	10178	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__distinct_values.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__github_events.json.gz	true	17996	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__github_events.json.syms.json	true	12693	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__gsoc-2018.json.gz	true	24305	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__gsoc-2018.json.syms.json	true	9548	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__instruments.json.gz	true	21927	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__instruments.json.syms.json	true	15241	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__instruments.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__marine_ik.json.gz	true	19300	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__marine_ik.json.syms.json	true	11418	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__marine_ik.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__mesh.json.gz	true	24018	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__mesh.json.syms.json	true	11334	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__mesh.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__numbers.json.gz	true	19696	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__numbers.json.syms.json	true	6048	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__numbers.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__random.json.gz	true	31986	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__random.json.syms.json	true	12885	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__random.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__twitter.json.gz	true	11697	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__twitter.json.syms.json	true	12117	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__twitter.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_basic.json.gz	true	40294	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track1__unicode_basic.json.syms.json	true	11065	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track1__unicode_basic.log	true
